Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
487,9,0.438,0.633,0.374,0.514,0.067,0.487,0.536,0.047,0.05,0.028,2.174,2.252,0.104,0.187,0.113,1.841,3.278,0.322,0.184,0.139,0.769,0.383,0.044,0.05,0.017,0.143,0.115,0.042,0.011,0.008999999999999998,0.899,2.162,0.215,0.155,0.059,0.801,1.736,0.213,0.11,0.049,2.196,8.993999999999998,0.731,0.413,0.25,1.492,9.284,0.799,0.49,0.255,2.231,14.297,0.9920000000000002,0.352,0.178,1.662,7.892999999999998,0.571,0.171,0.134,0.528,4.57,0.162,0.389,0.098,1.796,17.844,0.784,0.553,0.186,3.051,27.879,1.212,0.283,0.81,5.938,51.512,2.392,1.286,0.392,0.528,3.47,1.757,2.509,0.414,3.179,32.493,1.129,0.86,0.311,3.285,21.798,0.9920000000000002,0.646,0.296,3.913,54.141,1.294,0.973,0.404,3.402,12.191,0.569,0.516,0.13,0.885,1.395,0.146,0.1,0.042,2.669,11.784,0.957,0.585,0.226,4.738,28.865,1.744,1.279,0.635,3.257,9.659,1.58,1.187,0.452,2.712,7.631,0.445,0.245,0.119,0.8329999999999999,1.176,0.535,0.94,0.17,1.597,1.299,0.182,0.119,0.054,0.485,0.307,1.227,2.116,0.358,0.933,1.085,0.071,0.091,0.026,2.395,3.744,0.538,0.24,0.07299999999999998,1.979,2.532,0.269,0.211,0.092
488,9,0.643,0.697,0.339,0.487,0.071,0.24,0.259,0.024,0.035,0.016,1.712,1.151,0.092,0.111,0.098,1.401,2.043,0.18,0.109,0.1,0.437,0.177,0.03,0.03,0.013,0.113,0.083,0.031,0.008,0.008,0.8419999999999999,1.254,0.173,0.123,0.043,0.493,1.091,0.166,0.07299999999999998,0.04,2.423,6.315,0.59,0.219,0.153,1.904,6.983,0.475,0.337,0.198,1.993,8.989,0.701,0.286,0.182,2.266,6.681,0.462,0.204,0.119,0.756,4.378,0.099,0.308,0.109,2.986,16.756,0.8359999999999999,0.485,0.194,4.299,22.293,1.132,0.574,0.744,8.314999999999998,40.559,1.866,1.357,0.353,0.881,4.026,1.716,2.437,0.412,5.315,26.112,0.977,0.91,0.276,4.538,16.465,0.875,0.796,0.309,5.203,41.582,1.338,0.8359999999999999,0.45,3.47,10.829,0.703,0.512,0.138,1.075,1.416,0.271,0.083,0.03,2.593,11.416,1.043,0.653,0.215,4.439,21.664,1.734,0.976,0.666,2.993,8.314999999999998,1.395,1.333,0.425,2.231,4.616,0.442,0.253,0.066,0.9900000000000002,0.8449999999999999,0.633,0.909,0.171,1.239,1.67,0.235,0.134,0.056,0.388,0.279,1.143,2.148,0.383,0.653,0.625,0.051,0.064,0.018,1.737,2.038,0.493,0.194,0.053,1.475,1.599,0.171,0.178,0.077
489,9,0.755,0.677,0.235,0.379,0.07299999999999998,0.138,0.103,0.02,0.023,0.01,1.334,0.763,0.146,0.097,0.08699999999999998,1.052,1.748,0.139,0.078,0.08,0.232,0.134,0.022,0.022,0.008999999999999998,0.113,0.08,0.028,0.007,0.008999999999999998,0.809,1.029,0.121,0.109,0.034,0.462,1.22,0.141,0.065,0.028,2.599,6.708,0.428,0.121,0.097,2.44,8.259999999999998,0.229,0.251,0.215,1.875,8.814999999999998,0.401,0.277,0.195,2.634,8.965999999999998,0.452,0.333,0.142,0.9,4.429,0.09300000000000001,0.277,0.097,3.85,17.874,0.8409999999999999,0.545,0.196,4.854,26.377,1.127,0.796,0.666,8.935,43.483,1.213,1.171,0.318,1.242,5.426,1.719,2.75,0.484,6.984,28.257,0.904,0.927,0.261,4.972,18.808,0.627,0.974,0.32,6.0,47.31,1.452,1.103,0.534,3.189,15.419,1.155,0.695,0.166,1.061,1.966,0.431,0.092,0.033,2.371,15.364,1.105,0.783,0.212,4.534,23.604,1.96,0.872,0.681,2.593,10.528,0.944,1.307,0.377,2.406,4.504,0.497,0.342,0.051,0.916,1.072,0.895,1.002,0.188,0.986,2.755,0.499,0.268,0.078,0.303,0.256,1.029,2.128,0.424,0.454,0.539,0.055,0.055,0.015,1.387,1.668,0.418,0.186,0.057,1.223,1.098,0.177,0.142,0.062
490,9,0.765,0.472,0.119,0.236,0.069,0.217,0.117,0.043,0.025,0.01,1.253,1.073,0.242,0.125,0.091,1.024,2.31,0.226,0.116,0.104,0.214,0.222,0.043,0.028,0.01,0.157,0.109,0.029,0.008999999999999998,0.01,0.9930000000000001,1.546,0.114,0.112,0.041,0.957,2.014,0.148,0.127,0.036,2.856,9.124,0.414,0.115,0.107,2.947,11.915,0.201,0.274,0.27,2.22,13.451,0.287,0.3,0.205,2.502,13.245,0.559,0.531,0.179,0.779,4.108,0.164,0.247,0.066,3.45,20.08,0.891,0.671,0.178,4.646,35.819,1.253,0.894,0.632,6.979,57.213,0.9910000000000002,1.113,0.319,1.428,5.854,1.643,3.062,0.565,6.179,35.599,0.957,1.067,0.286,4.338,26.315,0.496,1.147,0.311,6.069,63.484,1.337,1.385,0.579,2.589,21.333,1.503,0.972,0.188,0.985,2.16,0.491,0.117,0.04,2.314,20.772,1.111,0.985,0.204,4.737,31.505,2.119,0.908,0.611,2.587,15.271,0.629,1.229,0.39,3.752,7.155,0.623,0.436,0.062,0.8129999999999998,1.7,1.165,1.246,0.191,1.153,4.038,0.856,0.422,0.104,0.34,0.252,0.955,2.196,0.42,0.402,0.948,0.06,0.059,0.021,1.675,3.192,0.359,0.234,0.08,1.347,1.228,0.237,0.133,0.056
491,9,0.649,0.224,0.069,0.163,0.057,0.357,0.198,0.077,0.036,0.012,1.078,1.418,0.284,0.147,0.091,1.041,2.537,0.262,0.181,0.127,0.27,0.275,0.078,0.036,0.013,0.17,0.11,0.025,0.008,0.008999999999999998,1.098,1.933,0.126,0.124,0.056,1.529,2.224,0.131,0.201,0.053,2.867,9.723,0.398,0.126,0.13,2.854,12.776,0.205,0.311,0.267,2.879,15.456,0.242,0.268,0.194,1.998,14.137,0.557,0.648,0.175,0.533,2.984,0.245,0.188,0.039,2.47,19.819,0.795,0.702,0.147,4.677,37.81,1.366,0.968,0.585,4.944,64.868,1.158,1.235,0.341,1.568,4.927,1.521,3.29,0.551,3.785,37.607,1.008,1.212,0.315,3.513,29.381,0.567,1.136,0.283,5.51,67.312,1.021,1.431,0.58,2.033,23.753,1.357,1.077,0.192,1.003,1.726,0.406,0.127,0.04,2.219,23.043,1.035,1.065,0.195,4.384,33.597,1.663,1.026,0.539,2.742,17.076,0.472,1.077,0.411,4.666,9.081,0.711,0.43,0.083,0.853,2.076,1.215,1.494,0.169,1.473,4.427,0.934,0.465,0.106,0.464,0.248,0.932,2.417,0.36,0.38,1.312,0.059,0.056,0.03,1.968,4.704,0.342,0.261,0.08699999999999998,1.452,1.513,0.249,0.144,0.061
492,9,0.456,0.127,0.072,0.163,0.039,0.458,0.24,0.094,0.046,0.012,0.76,1.347,0.225,0.137,0.076,0.859,1.989,0.182,0.206,0.112,0.308,0.257,0.098,0.04,0.02,0.117,0.07399999999999998,0.018,0.006,0.005,0.875,1.557,0.116,0.114,0.054,1.469,1.531,0.085,0.205,0.055,2.333,7.391,0.279,0.139,0.121,1.973,9.407,0.171,0.313,0.2,2.958,12.257,0.22,0.224,0.165,1.529,10.336,0.397,0.573,0.124,0.451,1.695,0.279,0.155,0.024,2.205,16.257,0.579,0.604,0.113,4.859,30.299,1.361,0.98,0.497,4.334,58.876,1.408,1.191,0.357,1.788,4.096,1.348,3.325,0.433,2.056,31.529,0.921,1.109,0.32,2.822,26.316,0.761,0.936,0.26,4.357,56.071,1.285,1.362,0.568,2.098,23.963,0.978,0.951,0.199,1.11,1.392,0.307,0.121,0.035,2.147,22.374,0.928,0.902,0.218,3.418,26.943,0.977,1.197,0.559,2.569,14.063,0.362,0.8469999999999999,0.367,4.083,8.044,0.667,0.356,0.118,0.944,2.113,1.026,1.482,0.155,1.609,4.046,0.691,0.41,0.08699999999999998,0.568,0.268,0.918,2.575,0.351,0.343,1.135,0.061,0.044,0.033,1.962,4.329,0.329,0.222,0.07,1.312,1.455,0.21,0.157,0.072
493,9,0.307,0.138,0.096,0.191,0.027,0.444,0.212,0.085,0.053,0.013,0.572,1.018,0.134,0.102,0.055,0.664,1.398,0.109,0.177,0.082,0.35,0.251,0.103,0.052,0.053,0.067,0.034,0.017,0.008,0.004,0.47,0.811,0.102,0.08899999999999998,0.038,0.863,0.898,0.048,0.153,0.042,1.543,4.644,0.206,0.159,0.097,0.902,5.7,0.146,0.286,0.17,2.143,8.974,0.333,0.304,0.14,1.084,6.462,0.295,0.507,0.097,0.498,0.907,0.264,0.208,0.021,2.234,11.521,0.455,0.621,0.08699999999999998,3.881,22.426,1.361,0.981,0.449,3.726,47.004,1.725,1.114,0.348,1.807,4.034,1.168,3.262,0.326,1.601,22.763,0.789,0.885,0.295,2.003,22.382,1.04,0.79,0.239,2.988,45.33,2.59,1.271,0.528,2.736,23.308,0.8159999999999998,0.792,0.212,1.211,1.463,0.236,0.121,0.032,2.326,20.954,0.888,0.717,0.266,2.451,19.005,0.986,1.253,0.611,2.127,10.421,0.543,0.712,0.303,2.933,5.478,0.651,0.307,0.152,0.957,2.195,0.787,1.238,0.19,1.452,3.804,0.437,0.344,0.07499999999999998,0.625,0.391,0.939,2.49,0.441,0.32,0.627,0.065,0.034,0.029,1.814,2.479,0.335,0.171,0.051,1.031,1.011,0.209,0.162,0.078
494,9,0.217,0.151,0.154,0.227,0.031,0.326,0.157,0.07299999999999998,0.059,0.016,0.73,0.883,0.095,0.065,0.042,0.934,1.802,0.118,0.159,0.069,0.49,0.28,0.111,0.077,0.116,0.076,0.027,0.025,0.019,0.006,0.246,0.514,0.145,0.117,0.041,0.459,1.134,0.056,0.122,0.034,1.549,4.348,0.351,0.218,0.099,0.611,5.972,0.259,0.306,0.247,1.716,10.205,0.637,0.472,0.131,0.974,6.239,0.471,0.625,0.14,0.562,0.63,0.245,0.293,0.026,1.933,8.8,0.581,0.8449999999999999,0.082,2.73,22.011,1.697,1.101,0.48,3.199,42.013,2.713,1.194,0.31,1.489,3.931,1.301,3.394,0.365,2.562,18.209,1.03,0.771,0.246,1.923,20.347,1.52,0.769,0.202,3.184,43.867,4.31,1.105,0.458,3.569,20.819,1.047,0.704,0.21,1.308,1.647,0.198,0.128,0.029,2.949,19.019,1.128,0.708,0.288,3.354,17.296,1.991,1.142,0.59,2.471,9.72,1.168,0.729,0.288,3.067,4.17,0.768,0.321,0.156,0.882,2.296,0.603,1.024,0.25,1.25,3.639,0.39,0.282,0.07299999999999998,0.65,0.62,0.943,2.225,0.501,0.376,0.402,0.079,0.04,0.025,1.763,1.162,0.426,0.199,0.045,0.903,0.686,0.285,0.175,0.07499999999999998
495,9,0.152,0.212,0.223,0.248,0.038,0.243,0.107,0.068,0.061,0.019,1.107,0.917,0.116,0.057,0.038,1.37,3.098,0.145,0.19,0.07,0.606,0.297,0.112,0.096,0.149,0.114,0.056,0.032,0.027,0.008,0.341,0.744,0.205,0.191,0.062,0.516,1.889,0.119,0.126,0.044,2.415,6.005,0.635,0.315,0.135,1.062,9.172,0.597,0.48,0.372,2.454,13.911,0.944,0.534,0.127,1.394,7.849,0.86,0.785,0.196,0.65,0.675,0.201,0.29,0.03,1.852,9.916,0.926,1.008,0.099,3.509,27.654,2.398,1.296,0.521,4.453,48.715,3.897,1.189,0.283,1.27,3.663,1.693,3.648,0.484,4.751,22.004,1.504,0.75,0.215,3.162,20.386,1.798,0.786,0.172,5.167,48.732,5.081,0.986,0.398,4.092,17.898,1.276,0.634,0.189,1.277,1.997,0.207,0.131,0.029,3.639,17.005,1.595,0.763,0.264,6.155,21.266,3.307,1.121,0.516,3.753,10.736,1.905,0.804,0.318,4.459,4.229,0.8429999999999999,0.378,0.128,0.781,2.046,0.535,0.964,0.275,1.154,3.026,0.475,0.227,0.07499999999999998,0.67,0.8459999999999999,0.859,1.983,0.44,0.472,0.536,0.109,0.061,0.025,1.546,1.025,0.558,0.315,0.05,0.935,0.8149999999999998,0.388,0.214,0.07
496,9,0.131,0.393,0.259,0.225,0.037,0.254,0.062,0.062,0.054,0.018,1.331,0.8489999999999999,0.233,0.096,0.044,1.346,3.854,0.178,0.228,0.07399999999999998,0.543,0.336,0.106,0.109,0.115,0.141,0.085,0.027,0.023,0.007,0.562,0.94,0.207,0.228,0.072,0.675,2.238,0.174,0.131,0.062,2.732,6.583,0.748,0.351,0.159,1.468,10.531,0.897,0.765,0.432,3.026,14.901,1.052,0.44,0.128,1.791,8.041,1.216,0.8159999999999998,0.216,0.68,0.935,0.177,0.204,0.029,2.224,12.649,1.51,0.945,0.117,5.098,32.285,2.874,1.521,0.523,6.218,59.099,4.541,0.9900000000000002,0.291,1.309,4.125,1.87,3.654,0.494,6.323,31.624,1.86,0.714,0.216,4.185,22.392,1.74,0.81,0.178,6.413,56.257,4.522,0.977,0.368,3.973,18.177,1.529,0.542,0.165,1.179,2.748,0.302,0.138,0.038,3.587,16.579,2.037,0.7229999999999999,0.224,7.758,24.895,3.752,1.213,0.494,4.289,11.122,2.239,0.8509999999999999,0.369,4.96,3.851,0.671,0.377,0.092,0.619,1.531,0.635,1.028,0.267,1.022,2.273,0.558,0.203,0.078,0.649,0.921,0.8169999999999998,1.969,0.37,0.476,0.601,0.127,0.072,0.024,1.056,1.154,0.56,0.394,0.061,1.011,1.216,0.499,0.253,0.068
497,9,0.18,0.598,0.246,0.186,0.031,0.275,0.043,0.049,0.04,0.013,1.323,0.755,0.454,0.162,0.065,1.075,3.402,0.267,0.254,0.083,0.39,0.446,0.124,0.122,0.059,0.134,0.08799999999999998,0.019,0.014,0.005,0.765,0.878,0.202,0.192,0.059,0.675,1.823,0.21,0.13,0.064,1.904,5.192,0.643,0.287,0.142,1.591,8.974,0.986,0.906,0.392,2.552,12.293,1.072,0.341,0.147,1.63,6.7,1.311,0.745,0.225,0.576,1.201,0.218,0.15,0.03,2.511,13.338,1.998,0.805,0.135,5.218,32.201,2.789,1.721,0.544,6.357,62.48,4.653,0.8129999999999998,0.306,1.457,5.177,1.537,3.39,0.41,5.988,38.532,1.909,0.671,0.211,3.525,24.379,1.315,0.81,0.192,5.431,61.682,3.883,1.024,0.383,3.417,20.85,1.796,0.434,0.147,1.177,3.382,0.398,0.155,0.052,2.885,17.109,2.066,0.617,0.198,6.341,24.405,3.068,1.145,0.573,3.435,10.433,2.033,0.8509999999999999,0.405,3.681,2.624,0.392,0.27,0.064,0.442,1.172,0.858,1.127,0.273,0.738,1.87,0.527,0.177,0.077,0.512,0.766,0.895,2.176,0.41,0.377,0.437,0.116,0.06,0.018,0.567,1.071,0.425,0.342,0.068,1.062,1.491,0.595,0.249,0.068
498,9,0.272,0.624,0.191,0.175,0.032,0.229,0.065,0.04,0.03,0.008999999999999998,1.506,0.777,0.597,0.192,0.092,1.098,2.537,0.351,0.254,0.091,0.321,0.525,0.141,0.118,0.031,0.114,0.078,0.018,0.008,0.003,0.796,0.774,0.258,0.129,0.038,0.569,1.147,0.216,0.119,0.047,1.152,3.896,0.475,0.233,0.111,1.626,7.623999999999999,0.874,0.759,0.325,1.68,9.705,1.086,0.379,0.175,1.217,5.474,1.133,0.641,0.231,0.492,1.197,0.264,0.163,0.034,2.496,11.745,1.828,0.759,0.148,3.887,29.848,2.153,1.769,0.581,5.371,57.056,4.293,0.8349999999999999,0.308,1.682,5.282,1.037,3.176,0.398,4.643,36.669,1.758,0.736,0.189,2.309,23.487,0.774,0.7249999999999999,0.179,4.029,58.493,3.818,1.297,0.43,2.876,21.033,1.995,0.368,0.132,1.149,3.092,0.437,0.151,0.059,2.62,16.191,1.732,0.51,0.19,4.261,21.031,1.995,0.9910000000000002,0.709,2.712,9.082,1.726,0.764,0.387,2.335,1.746,0.27,0.185,0.052,0.399,1.16,0.969,1.136,0.278,0.586,1.724,0.411,0.121,0.068,0.385,0.517,0.904,2.279,0.464,0.274,0.228,0.092,0.039,0.011,0.629,1.001,0.295,0.224,0.066,1.137,1.339,0.553,0.201,0.065
499,9,0.37,0.489,0.148,0.214,0.043,0.18,0.104,0.043,0.033,0.008999999999999998,1.888,0.893,0.568,0.168,0.105,1.325,2.017,0.335,0.219,0.084,0.301,0.443,0.112,0.08,0.022,0.105,0.07399999999999998,0.025,0.008999999999999998,0.003,0.646,0.8329999999999999,0.31,0.104,0.026,0.371,0.776,0.186,0.1,0.03,1.462,3.78,0.352,0.268,0.099,1.828,8.182,0.748,0.541,0.306,1.551,9.338,1.011,0.517,0.187,1.473,5.393,0.929,0.548,0.213,0.513,1.288,0.249,0.198,0.039,2.932,11.666,1.303,0.794,0.143,3.427,29.123,1.643,1.776,0.575,6.024,51.165,3.855,1.018,0.299,1.972,4.226,0.962,3.212,0.484,4.407,30.555,1.748,0.908,0.188,2.745,20.814,0.518,0.576,0.166,4.528,48.906,4.243,1.758,0.459,2.696,17.473,1.989,0.386,0.125,0.922,2.123,0.431,0.121,0.054,3.476,14.24,1.444,0.484,0.198,4.52,18.357,1.743,1.009,0.789,3.483,8.438,1.917,0.647,0.339,2.453,2.139,0.362,0.232,0.058,0.714,1.579,1.034,1.237,0.24,0.696,1.609,0.321,0.07399999999999998,0.06,0.581,0.488,0.9910000000000002,2.122,0.417,0.213,0.129,0.077,0.031,0.008999999999999998,1.21,1.07,0.236,0.15,0.053,1.192,0.942,0.367,0.146,0.058
500,10,0.973,1.119,0.495,0.626,0.081,0.527,0.645,0.272,0.109,0.044,1.269,1.528,0.581,0.309,0.054,3.074,3.688,0.95,0.534,0.133,1.098,0.179,0.258,0.046,0.022,0.212,0.034,0.05,0.024,0.013,2.421,2.363,0.219,0.125,0.039,2.104,1.662,0.437,0.125,0.038,5.139,11.709,2.09,0.736,0.149,6.38,12.974,1.286,0.692,0.204,5.457,18.992,1.71,0.7249999999999999,0.141,4.877,16.885,1.431,0.622,0.119,2.981,7.684,0.62,0.345,0.077,7.894999999999999,39.737,2.538,0.855,0.181,13.26,51.781,3.78,1.258,0.261,9.041,100.234,2.692,1.273,0.319,3.509,19.817,2.211,5.265,0.337,6.422,78.498,1.805,1.02,0.311,6.319,65.213,1.857,1.12,0.281,8.852,94.268,2.552,2.181,0.377,11.523,71.895,2.871,0.944,0.196,3.353,14.601,0.756,0.271,0.144,9.908,45.67,1.461,1.204,0.202,10.388,49.152,1.619,2.147,0.645,8.131999999999998,27.608,1.111,1.255,0.239,9.011,18.1,0.926,0.744,0.154,2.768,5.119,0.792,3.53,0.274,4.88,13.96,0.705,0.382,0.124,1.572,0.9960000000000001,1.322,2.47,0.366,1.199,1.402,0.395,0.136,0.046,4.899,7.144,0.298,0.364,0.101,1.899,3.326,0.768,0.193,0.114
501,10,0.9980000000000001,1.258,0.47,0.605,0.078,0.868,0.615,0.225,0.103,0.04,1.566,1.567,0.32,0.394,0.069,4.623,7.115,0.734,0.547,0.148,1.684,0.366,0.228,0.068,0.03,0.192,0.053,0.04,0.015,0.007,2.699,2.441,0.321,0.13,0.04,3.004,3.333,0.562,0.168,0.071,6.778,16.209,2.152,0.8299999999999998,0.196,8.362,16.723,1.409,0.582,0.27,4.413,19.109,1.248,0.555,0.141,5.368,17.569,1.331,0.523,0.134,2.971,7.436,0.559,0.311,0.07399999999999998,8.231,34.159,1.908,0.744,0.168,12.634,51.595,3.221,1.053,0.328,8.532,95.591,2.587,1.18,0.368,3.12,21.143,2.383,5.47,0.273,5.791,78.223,1.864,0.941,0.413,5.746,67.778,1.512,0.914,0.369,7.606,97.0,1.749,1.991,0.433,9.942,77.397,2.378,0.8409999999999999,0.185,2.755,16.14,0.435,0.212,0.136,8.019,51.814,1.186,1.104,0.217,8.413,50.983,1.091,2.395,0.657,7.896,32.03,0.8199999999999998,1.119,0.258,9.288,22.359,0.525,0.8419999999999999,0.17,3.073,5.03,0.892,3.778,0.28,4.399,15.13,0.59,0.315,0.124,1.701,0.983,1.597,2.69,0.353,1.022,1.27,0.287,0.143,0.055,6.547,7.755,0.192,0.357,0.1,2.345,3.418,0.463,0.22,0.11
502,10,1.028,1.296,0.464,0.621,0.069,1.094,0.593,0.21,0.111,0.037,2.182,2.075,0.395,0.54,0.103,6.325,8.984,0.693,0.461,0.165,2.114,0.603,0.223,0.101,0.04,0.162,0.07299999999999998,0.05,0.014,0.006,2.047,1.741,0.373,0.114,0.034,4.32,4.249,0.646,0.227,0.096,8.381999999999998,16.723,2.096,0.803,0.24,9.376,15.691,1.563,0.553,0.337,2.944,15.2,0.81,0.361,0.119,4.763,13.92,0.943,0.367,0.155,2.366,6.389,0.449,0.25,0.077,6.293,25.893,1.262,0.624,0.175,8.058,42.671,1.951,0.788,0.388,7.433,81.21899999999998,2.389,1.244,0.428,2.364,20.327,2.231,5.514,0.224,5.253,73.226,2.24,0.945,0.447,4.912,64.156,1.694,0.8149999999999998,0.389,5.335,91.103,1.737,1.819,0.403,7.444,77.263,1.959,0.865,0.159,1.948,16.086,0.312,0.261,0.132,5.302,48.514,1.117,1.158,0.207,4.771,42.01,0.981,2.137,0.615,5.5,26.245,0.72,0.8429999999999999,0.245,6.6,18.121,0.363,0.679,0.149,2.419,3.418,0.901,3.923,0.244,2.757,11.628,0.483,0.358,0.108,1.432,0.9,1.639,2.919,0.35,0.693,1.025,0.164,0.148,0.066,5.872,6.027,0.157,0.284,0.078,2.424,2.767,0.299,0.263,0.097
503,10,1.144,1.103,0.518,0.587,0.057,0.921,0.518,0.222,0.142,0.041,2.434,1.878,0.567,0.671,0.122,6.994,6.612,0.638,0.355,0.154,2.218,0.606,0.25,0.121,0.045,0.124,0.084,0.066,0.019,0.008999999999999998,1.2,0.979,0.354,0.095,0.03,5.301,3.223,0.545,0.278,0.099,9.435,11.163,1.588,0.644,0.246,9.417,10.538,1.516,0.632,0.335,2.538,10.466,0.54,0.338,0.099,4.701,10.012,0.548,0.343,0.174,1.798,4.801,0.382,0.262,0.082,4.479,19.437,0.918,0.604,0.185,5.221,32.684,1.25,0.679,0.395,6.816,66.546,2.28,1.446,0.432,1.81,16.508,1.947,5.533,0.235,5.443,63.996,2.534,1.09,0.382,4.295,54.566,2.341,0.903,0.344,4.429,77.95399999999998,2.254,1.801,0.301,5.228,67.135,1.977,0.978,0.149,1.305,13.469,0.33,0.364,0.115,4.114,36.676,1.039,1.301,0.187,3.134,27.058,1.338,1.788,0.53,3.709,15.219,0.7259999999999999,0.536,0.243,4.169,9.009,0.337,0.383,0.099,1.518,2.01,0.919,4.101,0.199,1.422,6.234,0.394,0.396,0.077,0.987,0.906,1.229,3.12,0.36,0.441,0.759,0.131,0.146,0.067,3.807,3.238,0.149,0.187,0.055,1.998,1.653,0.248,0.28,0.08799999999999998
504,10,1.165,0.893,0.575,0.521,0.052,0.505,0.355,0.202,0.158,0.051,2.445,1.191,0.649,0.78,0.109,6.566,3.03,0.574,0.317,0.107,1.993,0.433,0.24,0.117,0.04,0.106,0.085,0.077,0.025,0.012,1.015,0.884,0.311,0.099,0.036,5.378,1.761,0.444,0.3,0.091,10.161,5.89,1.093,0.489,0.22,8.877,7.107,1.263,0.689,0.262,3.841,9.828,0.75,0.52,0.106,6.276,10.368,0.521,0.532,0.184,1.942,4.066,0.34,0.395,0.096,4.693,19.399,0.9910000000000002,0.8,0.181,6.975,33.021,1.673,0.788,0.362,7.177,64.155,2.657,1.601,0.383,1.804,12.835,2.094,5.897,0.309,5.812,57.011,2.813,1.278,0.3,3.869,46.939,3.371,1.18,0.299,5.264,68.944,2.916,1.863,0.22,4.18,54.975,2.346,1.149,0.183,1.475,10.873,0.402,0.474,0.08999999999999998,4.708,27.817,0.918,1.414,0.18,3.731,18.044,1.909,1.536,0.536,3.699,9.374,0.664,0.401,0.313,3.567,3.609,0.394,0.217,0.063,1.23,2.028,1.137,4.395,0.178,1.117,3.426,0.276,0.325,0.049,0.71,0.946,0.862,3.298,0.365,0.393,0.501,0.152,0.145,0.059,2.485,1.708,0.198,0.143,0.049,1.459,0.805,0.221,0.257,0.08599999999999998
505,10,0.973,0.8299999999999998,0.49,0.426,0.05,0.205,0.188,0.135,0.132,0.053,2.46,0.865,0.557,0.753,0.082,5.734,1.97,0.573,0.32,0.069,1.593,0.349,0.198,0.102,0.031,0.122,0.072,0.07499999999999998,0.029,0.012,1.185,1.064,0.265,0.097,0.04,4.522,1.401,0.454,0.254,0.076,10.276,5.693,1.048,0.405,0.19,7.908,7.163,1.038,0.58,0.192,5.983,12.298,1.31,0.715,0.133,7.859,12.164,0.897,0.8,0.168,2.147,4.262,0.326,0.53,0.109,5.347,21.663,1.54,1.061,0.167,10.266,38.471,2.769,0.903,0.336,7.44,70.086,3.09,1.548,0.347,1.745,11.816,2.16,5.732,0.365,5.252,54.367,2.891,1.356,0.288,3.061,44.571,4.046,1.459,0.287,6.197,69.206,3.157,1.788,0.224,3.552,48.192,2.292,1.215,0.237,1.865,9.823,0.439,0.532,0.078,5.226,27.144,0.917,1.317,0.189,5.172,19.642,2.23,1.243,0.648,4.634,10.143,0.596,0.45,0.386,4.018,4.309,0.542,0.242,0.068,1.49,2.643,1.216,4.127,0.183,1.165,3.479,0.226,0.202,0.038,0.598,0.926,0.811,3.147,0.356,0.417,0.367,0.157,0.14,0.05,2.293,2.152,0.292,0.163,0.055,1.064,0.614,0.19,0.22,0.082
